plate,mjd,fiberid,snMedian,psfmag_g,psfmag_r,gmr
3684,55246,156,21.97404,18.81704,18.4817,0.3353367
3973,55323,546,21.39409,18.84342,18.55345,0.2899704
3977,55335,593,27.21701,18.36092,18.09695,0.2639694
4234,55478,370,27.05186,18.53675,18.24608,0.2906761
4235,55451,718,37.26489,18.33024,18.02814,0.3020935
4478,55600,256,22.59637,18.81602,18.47563,0.3403854
4478,55600,286,22.50364,18.68958,18.35892,0.330658
5325,55980,646,20.01564,18.89042,18.49619,0.3942299
6383,56362,395,24.82578,18.33745,18.05203,0.2854233
6629,56365,128,20.06855,18.8684,18.51195,0.3564548
6629,56365,318,24.86449,18.43696,18.42071,0.01625443
7255,56597,190,27.95405,18.43998,18.06889,0.371088
7256,56658,131,20.05731,18.82042,18.60142,0.2190018
7619,56900,668,20.32908,18.63478,18.55643,0.07835579
7620,56904,640,20.90445,18.55165,18.39826,0.153389
474,52000,310,21.02942,18.51763,18.13207,0.3855667
1399,53172,404,22.80409,18.37772,18.10216,0.2755642
2268,53682,265,22.2387,19.22347,18.83624,0.3872318
2271,53726,493,25.14758,18.66805,18.51165,0.1564026
2600,54243,87,20.1279,17.77046,18.25475,-0.4842892
3326,54943,293,26.59223,18.37569,18.05882,0.3168678
3326,54943,538,20.47182,18.86023,18.59839,0.261837
3329,54970,368,22.23116,18.43351,18.1879,0.2456093
3331,54977,76,26.5573,18.39267,18.04003,0.3526344
3847,55588,470,30.634,18.48653,18.15145,0.3350735
3848,55647,898,21.00433,19.00205,18.87628,0.1257725
1647,53531,2,22.89995,18.54037,18.43391,0.1064625
1650,53174,226,20.10704,18.50484,18.23069,0.2741451
1975,53734,497,28.47159,17.95878,18.03913,-0.08035278
2515,54180,505,23.16516,18.32162,18.05382,0.2677975
2819,54617,88,21.03732,18.67989,18.30623,0.3736629
2819,54617,337,20.93211,18.59532,18.30038,0.2949409
2819,54617,526,22.03647,18.49253,18.15821,0.3343239
2820,54599,467,29.54676,18.38677,18.00875,0.3780251
2821,54393,386,36.95183,18.82639,18.69291,0.1334743
2822,54389,450,29.70457,18.51806,18.19755,0.3205128
3251,54882,480,24.58741,18.7869,18.43608,0.3508224
3251,54882,602,28.38805,18.47022,18.15186,0.3183594
3253,54941,260,21.49906,18.73855,18.43157,0.3069744
3255,54885,398,25.30544,18.52591,18.19478,0.3311329
3257,54888,514,27.15596,18.49631,18.12119,0.3751144
4840,55690,820,23.55303,18.51324,18.18654,0.3266945
5194,56062,754,21.58228,18.34161,18.68811,-0.3465042
5196,55831,423,20.75582,18.73795,18.42108,0.3168697
5484,56039,570,24.20887,17.71426,18.2038,-0.4895401
5484,56039,612,20.31234,18.77235,18.44136,0.3309975
5989,56312,168,20.88107,18.8303,18.49104,0.3392601
5989,56312,392,20.93554,18.354,18.54246,-0.1884537
5989,56312,960,20.09812,18.40759,18.11502,0.2925797
6296,56219,794,25.76974,18.58662,18.57698,0.009634018
6974,56442,372,20.50485,19.14257,18.76552,0.3770504
7324,56935,336,26.51979,18.33083,18.19812,0.1327095
1698,53146,589,22.8854,18.4406,18.09951,0.3410835
1704,53178,385,22.61318,18.76997,18.3884,0.3815632
